Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.042E-08,-0.0034422,0.026198,0,0,0,0.090334,6.8467E-05,5.9979E-12,1.3439E-12,6.5123E-05,-1.8873E-07,0.00010174,0,0,0,0,0,0,package://camera_mechanism/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_mechanism/meshes/base_link.STL,,Part5^Assem1-1;Assem2^Assem1-2/MG995-1;Assem2^Assem1-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.0027443,-0.00020749,0.01696,0,0,0,0.076293,2.7852E-05,1.4475E-08,7.7988E-07,1.3885E-05,1.464E-08,3.4693E-05,0,0,0,0,0,0,package://camera_mechanism/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://camera_mechanism/meshes/link_1.STL,,Assem2^Assem1-1;Part8^Assem1-1;thrust ball bearing_68_skf-1,Coordinate System2,Axis1,joint_1,revolute,0,0,0.045256,0,0,0,base_link,-1,0,0,15,137,-1.5708,1.5708,,,,,,,,
link_2,-0.00065612,-0.02324,0.066711,0,0,0,0.076005,1.011E-05,-8.0049E-07,-2.0661E-07,8.7416E-05,6.9519E-07,8.4558E-05,0,0,0,0,0,0,package://camera_mechanism/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_mechanism/meshes/link_2.STL,,Part14^Assem1-1;Part9^Assem1-1;zedmini_camera.stp-1,Coordinate System2,Axis1 <thrust ball bearing_68_skf-1>,joint_2,revolute,0,0,0,0,0,0,link_1,0,0,-1,15,137,-1.5708,1.5708,,,,,,,,
