Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.083621,-0.18258,-0.0087548,0,0,0,2.5151,0.022882,-2.4105E-05,-2.2141E-06,0.0083528,-2.9427E-06,0.016089,0,0,0,0,0,0,package://Exo/meshes/base_link.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://Exo/meshes/base_link.STL,,T_Halterung_1-1;HALTERUNG_GEHAUSE__T_1-1;Actuator 5_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.015315,0.1114,0.1143,0,0,0,1.1771,0.0010548,-3.2613E-05,-2.7034E-05,0.00081243,-2.1067E-05,0.00047305,0,0,0,0,0,0,package://Exo/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Exo/meshes/link_1.STL,,Actuator 4_1-1;EXOARM4_1-1,Coordinate System1,Axis1,Joint_1,revolute,-0.15577,0.0088052,-0.26586,-0.00036153,-0.00029771,-3.1416,base_link,0,0,-1,50,3.49,-3.14,3.14,,,,,,,,
link_2,-0.0049684,0.19041,0.042949,0,0,0,1.1565,0.0010548,-1.9387E-05,2.3509E-08,0.00039566,-2.1281E-06,0.00087969,0,0,0,0,0,0,package://Exo/meshes/link_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Exo/meshes/link_2.STL,,Actuator 3_1-1;BaugruppeEXOARM_versch_3_1-1,Coordinate System2,Axis2,joint_2,revolute,-0.022632,0.12204,0.13076,0,-1.5705,-0.13202,link_1,0.00029771,0,-1,50,3.49,-3.14,3.14,,,,,,,,
link_3,0.01069,-0.18785,0.044015,0,0,0,1.1562,0.0010533,3.7117E-05,6.9363E-08,0.00039648,-1.6221E-06,0.0008792,0,0,0,0,0,0,package://Exo/meshes/link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Exo/meshes/link_3.STL,,Actuator 2_1-1;BaugruppeEXOARM_versch_3_1-2,Coordinate System3,Axis3,joint_3,revolute,-0.044215,0.20456,0.045987,-1.5711,0,1.5718,link_2,0,0,-1,50,3.49,-3.14,3.14,,,,,,,,
link_4,0.054034,0.25263,-0.030072,0,0,0,1.19,0.0011218,-8.5772E-05,2.6176E-06,0.00041039,2.432E-05,0.0013155,0,0,0,0,0,0,package://Exo/meshes/link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Exo/meshes/link_4.STL,,Actuator 1_1-1;BaugruppeEXOARM_versch-2_1-1,Coordinate System4,Axis4,joint_4,revolute,-0.030338,-0.20242,0.047,1.5708,0,-1.5573,link_3,0.00029771,0,-1,50,3.49,-3.14,3.14,,,,,,,,
link_5,0.005486,-0.11814,-0.007807,0,0,0,0.073555,0.00021003,9.5448E-06,-6.2259E-08,4.8819E-06,1.3827E-06,0.00021197,0,0,0,0,0,0,package://Exo/meshes/link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Exo/meshes/link_5.STL,,BaugruppeEXOARM_versch-1_1-1,Coordinate System5,Axis5,joint_5,revolute,0.058369,0.27168,0.010017,-0.00029641,-2.7787E-05,1.4773,link_4,0,0,-1,50,3.49,-3.14,3.14,,,,,,,,
